Age,Premium
69,14300
70,14500
28,6100
38,8100
45,9500
68,14100
53,11100
27,5900
20,4500
53,11100
62,12900
53,11100
27,5900
43,9100
30,6500
63,13100
25,5500
25,5500
52,10900
36,7700
40,8500
21,4700
40,8500
36,7700
72,14900
43,9100
18,4100
31,6700
40,8500
67,13900
26,5700
71,14700
73,15100
41,8700
67,13900
73,15100
37,7900
67,13900
68,14100
45,9500
66,13700
61,12700
72,14900
44,9300
50,10500
70,14500
30,6500
38,8100
53,11100
38,8100
30,6500
37,7900
43,9100
36,7700
68,14100
38,8100
70,14500
42,8900
48,10100
38,8100
34,7300
38,8100
22,4900
40,8500
47,9900
50,10500
43,9100
54,11300
46,9700
58,12100
33,7100
35,7500
70,14500
32,6900
34,7300
28,6100
32,6900
39,8300
21,4700
66,13700
22,4900
58,12100
27,5900
35,7500
21,4700
74,15300
30,6500
33,7100
21,4700
28,6100
38,8100
37,7900
49,10300
32,6900
38,8100
22,4900
58,12100
21,4700
62,12900
27,5900
63,13100
34,7300
18,4100
24,5300
24,5300
37,7900
66,13700
70,14500
56,11700
40,8500
63,13100
69,14300
40,8500
19,4300
32,6900
48,10100
56,11700
19,4300
72,14900
28,6100
20,4500
25,5500
45,9500
65,13500
55,11500
58,12100
48,10100
33,7100
63,13100
58,12100
59,12300
39,8300
68,14100
42,8900
20,4500
37,7900
67,13900
40,8500
30,6500
28,6100
72,14900
28,6100
66,13700
57,11900
57,11900
46,9700
73,15100
45,9500
74,15300
21,4700
38,8100
40,8500
28,6100
45,9500
31,6700
23,5100
70,14500
39,8300
26,5700
34,7300
44,9300
20,4500
55,11500
50,10500
50,10500
49,10300
43,9100
25,5500
31,6700
48,10100
38,8100
49,10300
35,7500
26,5700
32,6900
35,7500
31,6700
35,7500
44,9300
62,12900
73,15100
20,4500
45,9500
26,5700
40,8500
74,15300
46,9700
59,12300
62,12900
74,15300
70,14500
57,11900
24,5300
38,8100
49,10300
70,14500
35,7500
24,5300
19,4300
30,6500
73,15100
63,13100
62,12900
73,15100
63,13100
24,5300
25,5500
18,4100
50,10500
59,12300
39,8300
43,9100
74,15300
73,15100
24,5300
64,13300
57,11900
71,14700
27,5900
50,10500
67,13900
50,10500
24,5300
36,7700
73,15100
24,5300
40,8500
69,14300
37,7900
73,15100
46,9700
35,7500
66,13700
25,5500
59,12300
39,8300
67,13900
55,11500
42,8900
72,14900
65,13500
53,11100
67,13900
53,11100
70,14500
58,12100
28,6100
71,14700
70,14500
29,6300
39,8300
42,8900
39,8300
35,7500
57,11900
42,8900
29,6300
63,13100
26,5700
67,13900
72,14900
74,15300
20,4500
73,15100
44,9300
61,12700
52,10900
58,12100
35,7500
45,9500
71,14700
54,11300
69,14300
35,7500
30,6500
39,8300
46,9700
22,4900
58,12100
26,5700
22,4900
74,15300
64,13300
66,13700
18,4100
44,9300
26,5700
66,13700
37,7900
45,9500
68,14100
59,12300
20,4500
37,7900
27,5900
56,11700
22,4900
73,15100
68,14100
67,13900
24,5300
55,11500
39,8300
51,10700
40,8500
67,13900
22,4900
38,8100
56,11700
55,11500
31,6700
35,7500
41,8700
72,14900
47,9900
33,7100
71,14700
56,11700
63,13100
42,8900
26,5700
39,8300
19,4300
51,10700
58,12100
43,9100
33,7100
50,10500
64,13300
26,5700
41,8700
39,8300
38,8100
24,5300
42,8900
52,10900
36,7700
19,4300
54,11300
57,11900
51,10700
19,4300
53,11100
62,12900
61,12700
36,7700
27,5900
52,10900
67,13900
34,7300
53,11100
20,4500
19,4300
48,10100
29,6300
53,11100
60,12500
47,9900
56,11700
37,7900
33,7100
65,13500
27,5900
38,8100
40,8500
72,14900
66,13700
26,5700
38,8100
54,11300
22,4900
39,8300
27,5900
47,9900
65,13500
26,5700
40,8500
53,11100
18,4100
55,11500
60,12500
46,9700
39,8300
55,11500
21,4700
61,12700
44,9300
33,7100
40,8500
71,14700
49,10300
65,13500
56,11700
52,10900
27,5900
29,6300
31,6700
32,6900
57,11900
63,13100
58,12100
37,7900
49,10300
47,9900
44,9300
27,5900
18,4100
20,4500
31,6700
44,9300
51,10700
42,8900
25,5500
41,8700
37,7900
27,5900
57,11900
62,12900
34,7300
56,11700
22,4900
43,9100
70,14500
18,4100
18,4100
74,15300
70,14500
64,13300
62,12900
68,14100
30,6500
31,6700
37,7900
55,11500
33,7100
36,7700
66,13700
69,14300
57,11900
58,12100
52,10900
46,9700
53,11100
73,15100
60,12500
64,13300
47,9900
74,15300
36,7700
65,13500
35,7500
57,11900
26,5700
52,10900
47,9900
74,15300
39,8300
64,13300
39,8300
72,14900
27,5900
40,8500
73,15100
60,12500
64,13300
49,10300
69,14300
59,12300
40,8500
57,11900
68,14100
50,10500
46,9700
28,6100
60,12500
38,8100
32,6900
36,7700
56,11700
71,14700
38,8100
65,13500
49,10300
29,6300
20,4500
65,13500
71,14700
62,12900
35,7500
58,12100
61,12700
44,9300
36,7700
49,10300
73,15100
68,14100
67,13900
44,9300
51,10700
71,14700
70,14500
24,5300
28,6100
25,5500
69,14300
28,6100
43,9100
29,6300
67,13900
22,4900
52,10900
63,13100
40,8500
24,5300
54,11300
32,6900
71,14700
28,6100
31,6700
39,8300
20,4500
36,7700
39,8300
53,11100
29,6300
24,5300
42,8900
55,11500
24,5300
20,4500
69,14300
19,4300
50,10500
38,8100
20,4500
27,5900
25,5500
55,11500
25,5500
56,11700
49,10300
61,12700
36,7700
66,13700
41,8700
40,8500
54,11300
43,9100
68,14100
39,8300
45,9500
61,12700
29,6300
61,12700
73,15100
32,6900
43,9100
39,8300
43,9100
30,6500
49,10300
26,5700
43,9100
25,5500
44,9300
62,12900
57,11900
56,11700
50,10500
57,11900
21,4700
50,10500
20,4500
56,11700
59,12300
21,4700
31,6700
21,4700
31,6700
27,5900
35,7500
42,8900
60,12500
55,11500
61,12700
32,6900
50,10500
51,10700
21,4700
24,5300
70,14500
21,4700
22,4900
51,10700
40,8500
54,11300
24,5300
25,5500
46,9700
29,6300
47,9900
49,10300
51,10700
73,15100
46,9700
27,5900
19,4300
57,11900
73,15100
30,6500
69,14300
23,5100
55,11500
60,12500
59,12300
59,12300
65,13500
27,5900
21,4700
72,14900
53,11100
71,14700
62,12900
71,14700
74,15300
26,5700
45,9500
44,9300
57,11900
60,12500
53,11100
55,11500
46,9700
24,5300
41,8700
44,9300
29,6300
54,11300
35,7500
65,13500
30,6500
